source,mirror,credits,relationship
MAX join/QgKEPdCe-paA23bNmoHtiliTZsUcxP2fan5m0-wo-f4,romania,1,credited-by-mirror
MAX join/c2xJHCRreoSlqHb1OvtYgaZs4HHQfuxCVvoSXXjYL1E,romania,1,credited-by-mirror
MAX join/i-DmCPSXSxnQRfDLW8LghmJv1mRktQ2c2mtJF-luaOo,hungary,1,credited-by-mirror
MAX join/m3xonQo6fcxLGk46NO2soXc7dGhe3sHKnLrcLNawaWk,czechia,1,credited-by-mirror
MAX join/nMRPRxK7yw-Ghovf4X51z4CPY-diy6JXHA8j4oWUcQA,hungary,1,credited-by-mirror
MAX join/zrTMI0SEXdtRtfIyTzuKNnX3LRQWSXrbUgXktpaKesU,hungary,1,credited-by-mirror
MAX kanzlerdaddy,deutsch,96,credited-by-mirror
MAX kanzlerdaddy,hungary,1,credited-by-mirror
MAX kanzlerdaddy,poland,5,credited-by-mirror
MAX kanzlerdaddy,slovakia,1,credited-by-mirror
MAX kavkaz_tass,czechia,2,credited-by-mirror
MAX kavkaz_tass,deutsch,11,credited-by-mirror
MAX kd_mid,slovakia,1,credited-by-mirror
MAX kommersant,czechia,17,credited-by-mirror
MAX kommersant,deutsch,272,credited-by-mirror
MAX kommersant,hungary,37,credited-by-mirror
MAX kommersant,moldova,31,credited-by-mirror
MAX kommersant,poland,41,credited-by-mirror
MAX kommersant,romania,31,credited-by-mirror
MAX kommersant,slovakia,15,credited-by-mirror
MAX kommersant_volga,hungary,2,credited-by-mirror
MAX kommersantvrn,hungary,1,credited-by-mirror
MAX konstantinzatulin,deutsch,33,credited-by-mirror
MAX konstantinzatulin,moldova,15,credited-by-mirror
MAX konstantinzatulin,poland,7,credited-by-mirror
MAX konstantinzatulin,romania,2,credited-by-mirror
MAX kornilov1968,czechia,1,credited-by-mirror
MAX kornilov1968,deutsch,97,credited-by-mirror
MAX kornilov1968,hungary,6,credited-by-mirror
MAX kornilov1968,poland,74,credited-by-mirror
MAX kornilov1968,romania,2,credited-by-mirror
